ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK,DESCRIPTION
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,5001-PM03-BR,BROKE SYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,5001-PM03-BR-BR1,BROKE SYSTEM
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24KJ-564,,,5001-PM03-BR-BR1-35-24KJ-564,35-24KJ-564 SIZE PRESS PLPR START
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-077,,,35-24-077
