ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK,DESCRIPTION
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,5001-PM03-BR,BROKE SYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,5001-PM03-BR-BR1,BROKE SYSTEM
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-25-072,,,5001-PM03-BR-BR1-35-25-072,35-25-072 WAF 350 WHITE WATER FEED LINE
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-25-072,,,35-25-072
